"nr_num_partients_phone_standard","d_completed","cd_regio"
"10","2020-03-25","VLA"
"5","2020-03-25","VLA"
"20","2020-03-25","VLA"
"40","2020-03-25","VLA"
"10","2020-03-25","VLA"
"8","2020-03-25","VLA"
"15","2020-03-25","VLA"
"10","2020-03-25","VLA"
"15","2020-03-25","VLA"
"2","2020-03-25","VLA"
"10","2020-03-25","VLA"
"10","2020-03-25","VLA"
"15","2020-03-25","VLA"
"16","2020-03-25","VLA"
"6","2020-03-25","VLA"
"3","2020-03-25","VLA"
"15","2020-03-25","VLA"
"5","2020-03-25","VLA"
"1","2020-03-25","VLA"
"10","2020-03-25","VLA"
"20","2020-03-25","VLA"
"5","2020-03-25","VLA"
"5","2020-03-25","VLA"
"15","2020-03-25","VLA"
"10","2020-03-25","VLA"
"15","2020-03-25","VLA"
"22","2020-03-25","VLA"
"20","2020-03-25","VLA"
"10","2020-03-26","VLA"
"0","2020-03-26","VLA"
"10","2020-03-26","WAL"
"10","2020-03-26","BRU"
"5","2020-03-26","WAL"
"4","2020-03-26","WAL"
"0","2020-03-26","VLA"
"15","2020-03-26","WAL"
"5","2020-03-26","VLA"
"6","2020-03-26","VLA"
"20","2020-03-26","VLA"
"5","2020-03-26","VLA"
"15","2020-03-26","VLA"
"10","2020-03-26","VLA"
"20","2020-03-26","VLA"
"70","2020-03-26","VLA"
"10","2020-03-26","WAL"
"30","2020-03-26","WAL"
"25","2020-03-26","WAL"
"5","2020-03-26","VLA"
"4","2020-03-26","VLA"
"5","2020-03-26","VLA"
"0","2020-03-26","WAL"
"15","2020-03-26","WAL"
"10","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","WAL"
"6","2020-03-26","VLA"
"2","2020-03-26","BRU"
"8","2020-03-26","VLA"
"20","2020-03-26","VLA"
"5","2020-03-26","VLA"
"10","2020-03-26","WAL"
"15","2020-03-26","BRU"
"5","2020-03-26","VLA"
"2","2020-03-26","VLA"
"10","2020-03-26","VLA"
"20","2020-03-26","WAL"
"20","2020-03-26","VLA"
"10","2020-03-26","WAL"
"10","2020-03-26","VLA"
"10","2020-03-26","VLA"
"10","2020-03-26","BRU"
"6","2020-03-26","WAL"
"20","2020-03-26","VLA"
"10","2020-03-26","BRU"
"10","2020-03-26","VLA"
"2","2020-03-26","VLA"
"5","2020-03-26","WAL"
"5","2020-03-26","VLA"
"30","2020-03-26","BRU"
"10","2020-03-26","VLA"
"10","2020-03-26","WAL"
"6","2020-03-26","VLA"
"10","2020-03-26","WAL"
"3","2020-03-26","VLA"
"40","2020-03-26","WAL"
"0","2020-03-26","VLA"
"2","2020-03-26","VLA"
"4","2020-03-26","VLA"
"15","2020-03-26","VLA"
"10","2020-03-26","VLA"
"20","2020-03-26","WAL"
"10","2020-03-26","BRU"
"10","2020-03-26","BRU"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"10","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"20","2020-03-26","BRU"
"5","2020-03-26","VLA"
"10","2020-03-26","VLA"
"2","2020-03-26","VLA"
"10","2020-03-26","WAL"
"20","2020-03-26","WAL"
"20","2020-03-26","WAL"
"20","2020-03-26","WAL"
"20","2020-03-26","VLA"
"10","2020-03-26","VLA"
"8","2020-03-26","VLA"
"20","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"10","2020-03-26","VLA"
"10","2020-03-26","VLA"
"3","2020-03-26","WAL"
"5","2020-03-26","VLA"
"3","2020-03-26","VLA"
"15","2020-03-26","VLA"
"15","2020-03-26","WAL"
"8","2020-03-26","VLA"
"40","2020-03-26","VLA"
"15","2020-03-26","BRU"
"10","2020-03-26","VLA"
"10","2020-03-26","BRU"
"10","2020-03-26","WAL"
"10","2020-03-26","WAL"
"15","2020-03-26","VLA"
"10","2020-03-26","VLA"
"20","2020-03-26","WAL"
"5","2020-03-26","VLA"
"20","2020-03-26","WAL"
"20","2020-03-26","VLA"
"5","2020-03-26","VLA"
"10","2020-03-26","VLA"
"10","2020-03-26","VLA"
"40","2020-03-26","WAL"
"15","2020-03-26","VLA"
"20","2020-03-26","BRU"
"20","2020-03-26","VLA"
"6","2020-03-26","VLA"
"10","2020-03-26","VLA"
"15","2020-03-26","VLA"
"15","2020-03-26","VLA"
"3","2020-03-26","WAL"
"5","2020-03-26","WAL"
"10","2020-03-26","VLA"
"6","2020-03-26","VLA"
"5","2020-03-26","VLA"
"10","2020-03-26","VLA"
"10","2020-03-26","VLA"
"10","2020-03-26","BRU"
"20","2020-03-26","VLA"
"0","2020-03-26","VLA"
"10","2020-03-26","VLA"
"50","2020-03-26","VLA"
"3","2020-03-26","VLA"
"10","2020-03-26","VLA"
"20","2020-03-26","VLA"
"20","2020-03-26","VLA"
"5","2020-03-26","VLA"
"20","2020-03-26","BRU"
"5","2020-03-26","WAL"
"10","2020-03-26","VLA"
"7","2020-03-26","VLA"
"30","2020-03-26","VLA"
"10","2020-03-26","VLA"
"3","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"4","2020-03-26","VLA"
"25","2020-03-26","BRU"
"10","2020-03-26","BRU"
"2","2020-03-26","BRU"
"10","2020-03-26","VLA"
"10","2020-03-26","VLA"
"10","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","WAL"
"25","2020-03-26","VLA"
"10","2020-03-26","VLA"
"10","2020-03-26","BRU"
"2","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"5","2020-03-26","VLA"
"2","2020-03-26","VLA"
"15","2020-03-26","VLA"
"35","2020-03-26","WAL"
"5","2020-03-26","BRU"
"20","2020-03-26","BRU"
"10","2020-03-26","VLA"
"30","2020-03-26","VLA"
"7","2020-03-26","BRU"
"30","2020-03-26","WAL"
"7","2020-03-26","WAL"
"3","2020-03-26","VLA"
"3","2020-03-26","WAL"
"30","2020-03-26","VLA"
"5","2020-03-26","VLA"
"10","2020-03-26","VLA"
"10","2020-03-26","VLA"
"5","2020-03-26","WAL"
"10","2020-03-26","VLA"
"20","2020-03-27","VLA"
"10","2020-03-27","VLA"
"5","2020-03-27","WAL"
"10","2020-03-27","VLA"
"5","2020-03-27","VLA"
"2","2020-03-27","VLA"
"30","2020-03-27","VLA"
"20","2020-03-27","VLA"
"5","2020-03-27","VLA"
"10","2020-03-27","VLA"
"10","2020-03-27","VLA"
"10","2020-03-27","VLA"
"40","2020-03-27","WAL"
"6","2020-03-27","WAL"
"20","2020-03-27","VLA"
"20","2020-03-27","VLA"
"20","2020-03-27","BRU"
"5","2020-03-27","VLA"
"2","2020-03-27","VLA"
"20","2020-03-27","BRU"
"8","2020-03-27","WAL"
"5","2020-03-27","VLA"
"10","2020-03-27","VLA"
"50","2020-03-27","VLA"
"10","2020-03-27","WAL"
"3","2020-03-27","VLA"
"2","2020-03-27","WAL"
"20","2020-03-27","WAL"
"0","2020-03-27","VLA"
"5","2020-03-27","WAL"
"5","2020-03-27","WAL"
"10","2020-03-27","WAL"
"20","2020-03-27","WAL"
"20","2020-03-27","WAL"
"5","2020-03-27","VLA"
"15","2020-03-27","WAL"
"6","2020-03-27","WAL"
"5","2020-03-27","VLA"
"3","2020-03-27","VLA"
"20","2020-03-27","WAL"
"10","2020-03-27","BRU"
"10","2020-03-27","VLA"
"15","2020-03-27","BRU"
"6","2020-03-27","VLA"
"15","2020-03-27","VLA"
"10","2020-03-27","VLA"
"5","2020-03-27","BRU"
"15","2020-03-27","WAL"
"7","2020-03-27","VLA"
"50","2020-03-27","BRU"
"0","2020-03-27","BRU"
"10","2020-03-27","VLA"
"15","2020-03-27","VLA"
"10","2020-03-27","WAL"
"5","2020-03-27","VLA"
"10","2020-03-27","VLA"
"20","2020-03-27","WAL"
"5","2020-03-27","WAL"
"50","2020-03-27","BRU"
"10","2020-03-27","WAL"
"10","2020-03-27","WAL"
"4","2020-03-27","VLA"
"5","2020-03-27","WAL"
"10","2020-03-27","VLA"
"10","2020-03-27","BRU"
"10","2020-03-27","VLA"
"10","2020-03-27","BRU"
"10","2020-03-27","BRU"
"0","2020-03-27","VLA"
"5","2020-03-27","VLA"
"15","2020-03-27","VLA"
"0","2020-03-27","VLA"
"5","2020-03-27","VLA"
"5","2020-03-27","BRU"
"3","2020-03-27","BRU"
"15","2020-03-27","WAL"
"5","2020-03-27","VLA"
"2","2020-03-27","BRU"
"7","2020-03-27","VLA"
"10","2020-03-27","VLA"
"5","2020-03-27","VLA"
"10","2020-03-27","VLA"
"20","2020-03-27","VLA"
"150","2020-03-27","WAL"
"15","2020-03-27","BRU"
"30","2020-03-27","WAL"
"10","2020-03-27","WAL"
"5","2020-03-27","VLA"
"10","2020-03-27","VLA"
"5","2020-03-27","VLA"
"10","2020-03-27","WAL"
"10","2020-03-27","VLA"
"10","2020-03-27","WAL"
"20","2020-03-27","WAL"
"10","2020-03-27","VLA"
"10","2020-03-27","WAL"
"0","2020-03-27","VLA"
"25","2020-03-27","WAL"
"3","2020-03-27","WAL"
"10","2020-03-27","VLA"
"10","2020-03-27","BRU"
"30","2020-03-27","WAL"
"15","2020-03-27","BRU"
"20","2020-03-27","BRU"
"10","2020-03-27","VLA"
"20","2020-03-27","BRU"
"5","2020-03-27","WAL"
"10","2020-03-27","VLA"
"20","2020-03-27","VLA"
"3","2020-03-27","VLA"
"15","2020-03-27","WAL"
"5","2020-03-27","VLA"
"1","2020-03-27","VLA"
"15","2020-03-27","WAL"
"3","2020-03-27","BRU"
"2","2020-03-27","VLA"
"25","2020-03-27","WAL"
"20","2020-03-27","VLA"
"8","2020-03-27","VLA"
"20","2020-03-27","WAL"
"15","2020-03-27","WAL"
"12","2020-03-27","VLA"
"5","2020-03-27","BRU"
"3","2020-03-27","VLA"
"4","2020-03-27","VLA"
"10","2020-03-27","WAL"
"80","2020-03-27","WAL"
"30","2020-03-27","VLA"
"5","2020-03-27","WAL"
"10","2020-03-27","WAL"
"2","2020-03-27","VLA"
"10","2020-03-27","VLA"
"10","2020-03-27","VLA"
"10","2020-03-27","VLA"
"20","2020-03-27","WAL"
"10","2020-03-27","VLA"
"15","2020-03-27","BRU"
"5","2020-03-27","VLA"
"10","2020-03-27","WAL"
"4","2020-03-27","BRU"
"100","2020-03-27","WAL"
"5","2020-03-27","WAL"
"10","2020-03-27","VLA"
"10","2020-03-27","VLA"
"3","2020-03-27","VLA"
"10","2020-03-27","BRU"
"2","2020-03-28","VLA"
"5","2020-03-28","BRU"
"15","2020-03-28","VLA"
"10","2020-03-28","BRU"
"0","2020-03-28","BRU"
"5","2020-03-28","BRU"
"5","2020-03-28","BRU"
"20","2020-03-28","WAL"
"5","2020-03-28","VLA"
"30","2020-03-28","WAL"
"15","2020-03-28","WAL"
"15","2020-03-28","VLA"
"3","2020-03-28","BRU"
"10","2020-03-28","VLA"
"5","2020-03-28","VLA"
"5","2020-03-28","VLA"
"2","2020-03-28","VLA"
"5","2020-03-28","VLA"
"6","2020-03-28","VLA"
"15","2020-03-28","VLA"
"5","2020-03-28","VLA"
"3","2020-03-28","VLA"
"10","2020-03-28","WAL"
"25","2020-03-28","VLA"
"20","2020-03-28","WAL"
"3","2020-03-28","BRU"
"5","2020-03-28","VLA"
"6","2020-03-28","VLA"
"6","2020-03-28","BRU"
"4","2020-03-28","VLA"
"10","2020-03-28","VLA"
"10","2020-03-29","BRU"
"40","2020-03-29","WAL"
"8","2020-03-29","VLA"
"3","2020-03-29","VLA"
"10","2020-03-29","WAL"
"20","2020-03-29","VLA"
"10","2020-03-29","BRU"
"10","2020-03-29","BRU"
"15","2020-03-29","VLA"
"8","2020-03-29","VLA"
"20","2020-03-29","WAL"
"10","2020-03-29","BRU"
"4","2020-03-29","VLA"
"15","2020-03-29","WAL"
"10","2020-03-29","VLA"
"20","2020-03-29","VLA"
"25","2020-03-29","BRU"
"10","2020-03-30","WAL"
"5","2020-03-30","VLA"
"20","2020-03-30","WAL"
"20","2020-03-30","BRU"
"40","2020-03-30","VLA"
"15","2020-03-30","WAL"
"20","2020-03-30","BRU"
"5","2020-03-30","WAL"
"50","2020-03-30","WAL"
"20","2020-03-30","WAL"
"10","2020-03-30","VLA"
"10","2020-03-30","VLA"
"8","2020-03-30","VLA"
"20","2020-03-30","WAL"
"20","2020-03-30","WAL"
"15","2020-03-30","VLA"
"13","2020-03-30","WAL"
"30","2020-03-30","WAL"
"30","2020-03-30","WAL"
"10","2020-03-30","WAL"
"4","2020-03-30","WAL"
"25","2020-03-30","WAL"
"20","2020-03-30","WAL"
"10","2020-03-30","WAL"
"15","2020-03-30","WAL"
"10","2020-03-30","WAL"
"15","2020-03-30","VLA"
"5","2020-03-30","BRU"
"5","2020-03-30","BRU"
"15","2020-03-30","WAL"
"46","2020-03-30","WAL"
"10","2020-03-30","WAL"
"5","2020-03-30","WAL"
"15","2020-03-30","WAL"
"10","2020-03-30","WAL"
"10","2020-03-30","VLA"
"15","2020-03-30","WAL"
"30","2020-03-30","WAL"
"15","2020-03-30","WAL"
"0","2020-03-31","WAL"
"10","2020-03-31","WAL"
"015","2020-03-31","WAL"
"15","2020-03-31","WAL"
"25","2020-03-31","WAL"
"10","2020-03-31","WAL"
"25","2020-03-31","WAL"
"10","2020-03-31","VLA"
"50","2020-03-31","WAL"
"5","2020-03-31","VLA"
"33","2020-03-31","WAL"
"3","2020-03-31","VLA"
"5","2020-03-31","VLA"
"5","2020-03-31","WAL"
"15","2020-03-31","WAL"
"2","2020-03-31","VLA"
"10","2020-03-31","VLA"
"10","2020-03-31","VLA"
"10","2020-03-31","VLA"
"5","2020-03-31","WAL"
"10","2020-03-31","WAL"
"8","2020-03-31","WAL"
"15","2020-03-31","WAL"
"10","2020-03-31","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"15","2020-04-01","VLA"
"50","2020-04-01","WAL"
"10","2020-04-01","BRU"
"6","2020-04-01","VLA"
"5","2020-04-01","WAL"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
"20","2020-04-01","VLA"
"6","2020-04-01","VLA"
"5","2020-04-01","WAL"
"15","2020-04-01","VLA"
"10","2020-04-01","VLA"
"2","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
"15","2020-04-01","WAL"
"10","2020-04-01","VLA"
"40","2020-04-01","WAL"
"8","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"8","2020-04-01","VLA"
"20","2020-04-01","BRU"
"20","2020-04-01","BRU"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
"35","2020-04-01","WAL"
"10","2020-04-01","WAL"
"15","2020-04-01","VLA"
"3","2020-04-01","VLA"
"5","2020-04-01","VLA"
"6","2020-04-01","VLA"
"20","2020-04-01","WAL"
"10","2020-04-01","BRU"
"15","2020-04-01","VLA"
"20","2020-04-01","VLA"
"3","2020-04-01","WAL"
"5","2020-04-01","VLA"
"5","2020-04-01","WAL"
"10","2020-04-01","WAL"
"10","2020-04-01","VLA"
"6","2020-04-01","VLA"
"15","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","BRU"
"7","2020-04-01","VLA"
"15","2020-04-01","VLA"
"6","2020-04-01","VLA"
"15","2020-04-01","WAL"
"15","2020-04-01","VLA"
"138","2020-04-01","BRU"
"15","2020-04-01","VLA"
"8","2020-04-01","VLA"
"6","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"15","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"15","2020-04-01","WAL"
"5","2020-04-01","VLA"
"15","2020-04-01","WAL"
"30","2020-04-01","VLA"
"5","2020-04-01","VLA"
"15","2020-04-01","VLA"
"10","2020-04-01","VLA"
"8","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
"5","2020-04-01","VLA"
"40","2020-04-01","BRU"
"15","2020-04-01","WAL"
"5","2020-04-01","VLA"
"3","2020-04-01","VLA"
"6","2020-04-01","BRU"
"20","2020-04-01","VLA"
"20","2020-04-01","VLA"
"15","2020-04-01","WAL"
"5","2020-04-01","VLA"
"20","2020-04-01","BRU"
"20","2020-04-01","BRU"
"30","2020-04-01","BRU"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"12","2020-04-01","BRU"
"5","2020-04-01","VLA"
"30","2020-04-01","WAL"
"50","2020-04-01","WAL"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
"6","2020-04-01","VLA"
"5","2020-04-01","VLA"
"15","2020-04-01","VLA"
"15","2020-04-01","VLA"
"20","2020-04-01","VLA"
"9","2020-04-01","VLA"
"10","2020-04-01","VLA"
"25","2020-04-01","WAL"
"12","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"20","2020-04-01","VLA"
"5","2020-04-01","VLA"
"25","2020-04-01","BRU"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"30","2020-04-01","VLA"
"12","2020-04-01","WAL"
"10","2020-04-01","VLA"
"3","2020-04-01","WAL"
"8","2020-04-01","VLA"
"5","2020-04-01","WAL"
"10","2020-04-01","VLA"
"3","2020-04-01","VLA"
"5","2020-04-01","BRU"
"10","2020-04-01","VLA"
"1","2020-04-01","VLA"
"6","2020-04-01","VLA"
"5","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"0","2020-04-01","VLA"
"7","2020-04-01","VLA"
"10","2020-04-01","VLA"
"15","2020-04-01","VLA"
"5","2020-04-01","VLA"
"5","2020-04-01","VLA"
"2","2020-04-01","VLA"
"10","2020-04-01","VLA"
"30","2020-04-01","WAL"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","BRU"
"10","2020-04-01","VLA"
"20","2020-04-01","BRU"
"6","2020-04-01","VLA"
"5","2020-04-01","BRU"
"5","2020-04-01","VLA"
"5","2020-04-01","VLA"
"5","2020-04-01","VLA"
"15","2020-04-01","WAL"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"25","2020-04-01","WAL"
"10","2020-04-01","WAL"
"10","2020-04-01","VLA"
"25","2020-04-01","VLA"
"5","2020-04-01","WAL"
"5","2020-04-01","VLA"
"20","2020-04-01","BRU"
"8","2020-04-01","VLA"
"5","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","WAL"
"30","2020-04-01","VLA"
"5","2020-04-01","VLA"
"20","2020-04-01","VLA"
"8","2020-04-01","VLA"
"10","2020-04-01","VLA"
"4","2020-04-01","VLA"
"6","2020-04-01","VLA"
"20","2020-04-01","WAL"
"10","2020-04-01","WAL"
"20","2020-04-01","WAL"
"5","2020-04-01","VLA"
"10","2020-04-01","WAL"
"10","2020-04-01","VLA"
"20","2020-04-01","BRU"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","BRU"
"20","2020-04-01","VLA"
"2","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"20","2020-04-01","VLA"
"5","2020-04-01","VLA"
"4","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"15","2020-04-01","WAL"
"15","2020-04-01","VLA"
"6","2020-04-01","VLA"
"15","2020-04-01","WAL"
"9","2020-04-01","VLA"
"10","2020-04-01","WAL"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"35","2020-04-01","VLA"
"3","2020-04-01","VLA"
"5","2020-04-01","VLA"
"20","2020-04-01","VLA"
"10","2020-04-01","VLA"
"20","2020-04-01","BRU"
"20","2020-04-01","VLA"
"60","2020-04-01","BRU"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"15","2020-04-01","VLA"
"20","2020-04-01","BRU"
"4","2020-04-01","VLA"
"15","2020-04-01","VLA"
"20","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
"8","2020-04-01","WAL"
"5","2020-04-01","VLA"
"7","2020-04-01","VLA"
"30","2020-04-01","BRU"
"5","2020-04-01","WAL"
"15","2020-04-01","VLA"
"20","2020-04-01","WAL"
"10","2020-04-01","VLA"
"20","2020-04-01","VLA"
"5","2020-04-01","VLA"
"4","2020-04-01","VLA"
"10","2020-04-01","WAL"
"15","2020-04-01","VLA"
"10","2020-04-01","VLA"
"15","2020-04-01","VLA"
"15","2020-04-01","BRU"
"14","2020-04-01","BRU"
"20","2020-04-01","VLA"
"8","2020-04-01","BRU"
"25","2020-04-01","WAL"
"5","2020-04-01","VLA"
"4","2020-04-01","WAL"
"3","2020-04-01","VLA"
"20","2020-04-01","WAL"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"4","2020-04-01","VLA"
"10","2020-04-01","WAL"
"5","2020-04-01","VLA"
"15","2020-04-01","WAL"
"10","2020-04-01","VLA"
"10","2020-04-01","WAL"
"25","2020-04-01","VLA"
"50","2020-04-01","WAL"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
"10","2020-04-01","VLA"
"10","2020-04-01","VLA"
"5","2020-04-01","VLA"
