"tx_prof_circle","d_completed","cd_regio"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","BRU"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","BRU"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-19","WAL"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","VLA"
"","2020-03-19","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","WAL"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","BRU"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
"","2020-03-20","VLA"
"","2020-03-20","WAL"
